Gene,Gene name,Main location,Other location,Expression type,Reliability,Main location GO id,Other location GO id,,Sort
ENSG00000005961,ITGA2B,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,72
ENSG00000006007,GDE1,Nucleoli,Nucleus;Vesicles,APE,Uncertain,GO:0005730,GO:0005634;GO:0043231,,73
ENSG00000006015,C19orf60,Vesicles,,APE,Uncertain,GO:0043231,,,74
ENSG00000006025,OSBPL7,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,75
ENSG00000006047,YBX2,Nucleoli,,APE,Supportive,GO:0005730,,,76
ENSG00000006071,ABCC8,Nucleoli,Cytoplasm;Golgi apparatus,APE,Uncertain,GO:0005730,GO:0005737;GO:0005794,,77
ENSG00000006118,TMEM132A,Mitochondria,,APE,Uncertain,GO:0005739,,,78
ENSG00000006125,AP2B1,Vesicles,,APE,Supportive,GO:0043231,,,79
ENSG00000006194,ZNF263,Nucleus;Cytoplasm,Cytoskeleton (Microtubules),APE,Supportive,GO:0005634;GO:0005737,GO:0015630,,80
ENSG00000006210,CX3CL1,Plasma membrane,,APE,Supportive,GO:0005886,,,81
ENSG00000006283,CACNA1G,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,82
ENSG00000006327,TNFRSF12A,Plasma membrane;Cytoplasm;Cytoskeleton (Microtubules),,APE,Uncertain,GO:0005886;GO:0005737;GO:0015630,,,83
ENSG00000006377,DLX6,Nucleus,,APE,Uncertain,GO:0005634,,,84
ENSG00000006432,MAP3K9,Nucleus;Nucleoli,Cytoplasm,APE,Supportive,GO:0005634;GO:0005730,GO:0005737,,85
ENSG00000006451,RALA,Plasma membrane;Focal Adhesions,,APE,Uncertain,GO:0005886;GO:0005925,,,86
ENSG00000006453,BAIAP2L1,Plasma membrane,Cytoplasm,APE,Supportive,GO:0005886,GO:0005737,,87
ENSG00000006459,KDM7A,Nucleus but not nucleoli,Nucleoli,APE,Supportive,GO:0005654,GO:0005730,,88
ENSG00000006530,AGK,Mitochondria,Vesicles,APE,Supportive,GO:0005739,GO:0043231,,89
ENSG00000006534,ALDH3B1,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,90
ENSG00000006576,PHTF2,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,91
ENSG00000006607,FARP2,Cytoplasm,,APE,Uncertain,GO:0005737,,,92
ENSG00000006611,USH1C,Cytoplasm,,APE,Supportive,GO:0005737,,,93
ENSG00000006625,GGCT,Golgi apparatus,,APE,Uncertain,GO:0005794,,,94
ENSG00000006652,IFRD1,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,95
ENSG00000006695,COX10,Nucleoli;Mitochondria,Cytoplasm,APE,Uncertain,GO:0005730;GO:0005739,GO:0005737,,96
ENSG00000006704,GTF2IRD1,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,97
ENSG00000006712,PAF1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,98
ENSG00000006715,VPS41,Nucleus but not nucleoli,Golgi apparatus,APE,Uncertain,GO:0005654,GO:0005794,,99
ENSG00000006744,ELAC2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,100
ENSG00000006747,SCIN,Plasma membrane,Cytoplasm,APE,Uncertain,GO:0005886,GO:0005737,,101
ENSG00000006756,ARSD,Vesicles,,APE,Supportive,GO:0043231,,,102
ENSG00000006757,PNPLA4,Cytoplasm,Nucleus but not nucleoli,APE,Uncertain,GO:0005737,GO:0005654,,103
ENSG00000006831,ADIPOR2,Nucleoli,,APE,Uncertain,GO:0005730,,,104
ENSG00000006837,CDKL3,Nucleus but not nucleoli,Cytoplasm;Golgi apparatus;Vesicles,APE,Uncertain,GO:0005654,GO:0005737;GO:0005794;GO:0043231,,105
ENSG00000007001,UPP2,Nucleus,Mitochondria;Vesicles,APE,Uncertain,GO:0005634,GO:0005739;GO:0043231,,106
ENSG00000007038,PRSS21,Cytoplasm,,APE,Uncertain,GO:0005737,,,107
ENSG00000007047,MARK4,Cytoplasm,,APE,Uncertain,GO:0005737,,,108
ENSG00000007062,PROM1,Vesicles,,APE,Uncertain,GO:0043231,,,109
ENSG00000007080,CCDC124,Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005886;GO:0005737,,,110
ENSG00000007168,PAFAH1B1,Centrosome,,APE,Supportive,GO:0005813,,,111
ENSG00000007202,KIAA0100,Nucleus but not nucleoli,Cytoplasm,APE,Uncertain,GO:0005654,GO:0005737,,112
ENSG00000007237,GAS7,Plasma membrane;Cytoskeleton (Actin filaments);Focal Adhesions,,APE,Uncertain,GO:0005886;GO:0015629;GO:0005925,,,113
ENSG00000007312,CD79B,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005886;GO:0005737,,,114
ENSG00000007314,SCN4A,Nucleus but not nucleoli,Microtubule organizing center,APE,Uncertain,GO:0005654,GO:0005815,,115
ENSG00000007372,PAX6,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,116
ENSG00000007376,RPUSD1,Nucleus;Cytoplasm;Golgi apparatus,Cell Junctions,APE,Uncertain,GO:0005634;GO:0005737;GO:0005794,GO:0030054,,117
ENSG00000007520,TSR3,Cytoplasm,Golgi apparatus,APE,Uncertain,GO:0005737,GO:0005794,,118
ENSG00000007541,PIGQ,Nucleus but not nucleoli;Plasma membrane;Cytoplasm;Golgi apparatus;Vesicles,,APE,Uncertain,GO:0005654;GO:0005886;GO:0005737;GO:0005794;GO:0043231,,,119
ENSG00000007545,CRAMP1L,Nucleus;Nucleoli,Cytoplasm,APE,Uncertain,GO:0005634;GO:0005730,GO:0005737,,120
ENSG00000007923,DNAJC11,Cytoplasm,,APE,Uncertain,GO:0005737,,,121
ENSG00000007933,FMO3,Nucleus but not nucleoli,Cytoplasm;Cytoskeleton (Actin filaments),APE,Uncertain,GO:0005654,GO:0005737;GO:0015629,,122
ENSG00000008018,PSMB1,Nucleus,Cytoplasm;Cytoskeleton (Intermediate filaments),APE,Supportive,GO:0005634,GO:0005737;GO:0045111,,123
ENSG00000008056,SYN1,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,124
ENSG00000008083,JARID2,Nucleus;Mitochondria,,APE,Supportive,GO:0005634;GO:0005739,,,125
ENSG00000008086,CDKL5,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,126
ENSG00000008128,CDK11A,Nucleus,Cytoplasm,APE,Supportive,GO:0005634,GO:0005737,,127
ENSG00000008196,TFAP2B,Nucleus but not nucleoli;Vesicles,,APE,Uncertain,GO:0005654;GO:0043231,,,128
ENSG00000008226,DLEC1,Cytoplasm,,APE,Supportive,GO:0005737,,,129
ENSG00000008256,CYTH3,Cytoplasm,Nucleus but not nucleoli,APE,Uncertain,GO:0005737,GO:0005654,,130
ENSG00000008277,ADAM22,Nucleus,Cytoskeleton (Intermediate filaments),APE,Uncertain,GO:0005634,GO:0045111,,131
ENSG00000008294,SPAG9,Cytoplasm;Microtubule organizing center,,APE,Supportive,GO:0005737;GO:0005815,,,132
ENSG00000008311,AASS,Mitochondria,Vesicles,APE,Supportive,GO:0005739,GO:0043231,,133
ENSG00000008324,SS18L2,Nucleoli;Mitochondria,Nucleus,APE,Uncertain,GO:0005730;GO:0005739,GO:0005634,,134
ENSG00000008382,MPND,Nucleoli,Nucleus,APE,Uncertain,GO:0005730,GO:0005634,,135
ENSG00000008394,MGST1,Mitochondria,Endoplasmic reticulum,APE,Uncertain,GO:0005739,GO:0005783,,136
ENSG00000008405,CRY1,Nucleus,Nuclear membrane;Cytoskeleton (Microtubules),APE,Supportive,GO:0005634,GO:0031965;GO:0015630,,137
ENSG00000008441,NFIX,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,138
ENSG00000008517,IL32,Nucleus but not nucleoli,Cytoplasm;Cytoskeleton (Cytokinetic bridge),APE,Uncertain,GO:0005654,GO:0005737;GO:0045171,,139
ENSG00000008735,MAPK8IP2,Nucleus,Cytoplasm;Vesicles,APE,Supportive,GO:0005634,GO:0005737;GO:0043231,,140
ENSG00000008853,RHOBTB2,Plasma membrane,,APE,Uncertain,GO:0005886,,,141
ENSG00000008869,HEATR5B,Nucleus;Nucleoli,Cytoplasm,APE,Uncertain,GO:0005634;GO:0005730,GO:0005737,,142
ENSG00000008952,SEC62,Endoplasmic reticulum,Cytoskeleton (Intermediate filaments),APE,Supportive,GO:0005783,GO:0045111,,143
ENSG00000008988,RPS20,Cytoplasm,,APE,Supportive,GO:0005737,,,144
ENSG00000009307,CSDE1,Cytoplasm,,APE,Supportive,GO:0005737,,,145
ENSG00000009335,UBE3C,Mitochondria,Nucleus but not nucleoli;Plasma membrane,APE,Uncertain,GO:0005739,GO:0005654;GO:0005886,,146
ENSG00000009413,REV3L,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,147
ENSG00000009724,MASP2,Golgi apparatus,Nucleus but not nucleoli,APE,Supportive,GO:0005794,GO:0005654,,148
ENSG00000009790,TRAF3IP3,Vesicles,,APE,Uncertain,GO:0043231,,,149
ENSG00000009844,VTA1,Mitochondria,,APE,Uncertain,GO:0005739,,,150
ENSG00000009950,MLXIPL,Nucleus,,APE,Supportive,GO:0005634,,,151
ENSG00000009954,BAZ1B,Nucleus,,APE,Supportive,GO:0005634,,,152
ENSG00000010017,RANBP9,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,153
ENSG00000010030,ETV7,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,154
ENSG00000010072,SPRTN,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,155
ENSG00000010165,METTL13,Cytoplasm,,APE,Uncertain,GO:0005737,,,156
ENSG00000010219,DYRK4,Vesicles,,APE,Supportive,GO:0043231,,,157
ENSG00000010244,ZNF207,Nucleus,,APE,Supportive,GO:0005634,,,158
ENSG00000010256,UQCRC1,Mitochondria,Cytoplasm,APE,Supportive,GO:0005739,GO:0005737,,159
ENSG00000010278,CD9,Plasma membrane,,APE,Supportive,GO:0005886,,,160
ENSG00000010292,NCAPD2,Nucleus;Cytoplasm,,APE,Supportive,GO:0005634;GO:0005737,,,161
ENSG00000010318,PHF7,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,162
ENSG00000010361,FUZ,Cytoplasm,,APE,Uncertain,GO:0005737,,,163
ENSG00000010539,ZNF200,Mitochondria,,APE,Uncertain,GO:0005739,,,164
ENSG00000010610,CD4,Plasma membrane,,APE,Supportive,GO:0005886,,,165
ENSG00000010626,LRRC23,Nucleoli,,APE,Supportive,GO:0005730,,,166
ENSG00000010671,BTK,Vesicles,,APE,Supportive,GO:0043231,,,167
ENSG00000010704,HFE,Nuclear membrane;Mitochondria,,APE,Uncertain,GO:0031965;GO:0005739,,,168
ENSG00000010803,SCMH1,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,169
ENSG00000010818,HIVEP2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,170
ENSG00000011007,TCEB3,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,171
ENSG00000011021,CLCN6,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,172
ENSG00000011052,NME2,Cytoplasm,,APE,Supportive,GO:0005737,,,173
ENSG00000011132,APBA3,Vesicles,,APE,Uncertain,GO:0043231,,,174
ENSG00000011198,ABHD5,Vesicles,,APE,Uncertain,GO:0043231,,,175
ENSG00000011243,AKAP8L,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,176
ENSG00000011258,MBTD1,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,177
ENSG00000011260,UTP18,Nucleus;Nucleoli,,APE,Supportive,GO:0005634;GO:0005730,,,178
ENSG00000011295,TTC19,Mitochondria,,APE,Supportive,GO:0005739,,,179
ENSG00000011304,PTBP1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,180
ENSG00000011376,LARS2,Nucleus but not nucleoli;Mitochondria,,APE,Supportive,GO:0005654;GO:0005739,,,181
ENSG00000011405,PIK3C2A,Nucleus,,APE,Uncertain,GO:0005634,,,182
ENSG00000011422,PLAUR,Plasma membrane,,APE,Supportive,GO:0005886,,,183
ENSG00000011426,ANLN,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,184
ENSG00000011451,WIZ,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,185
ENSG00000011454,RABGAP1,Cytoplasm,,APE,Supportive,GO:0005737,,,186
ENSG00000011478,QPCTL,Golgi apparatus,,APE,Supportive,GO:0005794,,,187
ENSG00000011485,PPP5C,Vesicles,Nucleus but not nucleoli;Cytoplasm,APE,Supportive,GO:0043231,GO:0005654;GO:0005737,,188
ENSG00000011523,CEP68,Nucleus;Microtubule organizing center,,APE,Supportive,GO:0005634;GO:0005815,,,189
ENSG00000011566,MAP4K3,Centrosome,,APE,Uncertain,GO:0005813,,,190
ENSG00000011638,TMEM159,Vesicles,,APE,Uncertain,GO:0043231,,,191
ENSG00000012061,ERCC1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,192
ENSG00000012124,CD22,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,193
ENSG00000012174,MBTPS2,Nucleus but not nucleoli;Cytoplasm;Mitochondria,,APE,Uncertain,GO:0005654;GO:0005737;GO:0005739,,,194
ENSG00000012211,PRICKLE3,Nucleus;Plasma membrane;Centrosome,,APE,Uncertain,GO:0005634;GO:0005886;GO:0005813,,,195
ENSG00000012504,NR1H4,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,196
ENSG00000012660,ELOVL5,Endoplasmic reticulum,,APE,Supportive,GO:0005783,,,197
ENSG00000012817,KDM5D,Nucleoli,,APE,Uncertain,GO:0005730,,,198
ENSG00000012822,CALCOCO1,Cytoplasm,Vesicles,APE,Supportive,GO:0005737,GO:0043231,,199
ENSG00000012963,UBR7,Nucleus,,APE,Uncertain,GO:0005634,,,200
ENSG00000012983,MAP4K5,Plasma membrane;Cytoplasm,,APE,Uncertain,GO:0005886;GO:0005737,,,201
ENSG00000013275,PSMC4,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,202
ENSG00000013364,MVP,Cytoplasm,,APE,Supportive,GO:0005737,,,203
ENSG00000013374,NUB1,Nucleus;Nucleoli,,APE,Supportive,GO:0005634;GO:0005730,,,204
ENSG00000013375,PGM3,Nucleus but not nucleoli;Cytoplasm,Cytoskeleton (Intermediate filaments);Cytoskeleton (Microtubules);Aggresome,APE,Supportive,GO:0005654;GO:0005737,GO:0045111;GO:0015630;GO:0016235,,205
ENSG00000013392,RWDD2A,Cytoplasm,Nucleus but not nucleoli,APE,Uncertain,GO:0005737,GO:0005654,,206
ENSG00000013441,CLK1,Nuclear membrane,Nucleus but not nucleoli,APE,Supportive,GO:0031965,GO:0005654,,207
ENSG00000013503,POLR3B,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,208
ENSG00000013523,ANGEL1,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,209
ENSG00000013561,RNF14,Nucleus but not nucleoli;Cytoplasm,,APE,Supportive,GO:0005654;GO:0005737,,,210
ENSG00000013573,DDX11,Nucleus,Nucleoli,APE,Supportive,GO:0005634,GO:0005730,,211
ENSG00000013588,GPRC5A,Vesicles,Plasma membrane,APE,Supportive,GO:0043231,GO:0005886,,212
ENSG00000013619,MAMLD1,Nucleus but not nucleoli,Centrosome,APE,Supportive,GO:0005654,GO:0005813,,213
ENSG00000013725,CD6,,,APE,Uncertain,,,,214
ENSG00000013810,TACC3,Cytoplasm;Endoplasmic reticulum,Centrosome,APE,Supportive,GO:0005737;GO:0005783,GO:0005813,,215
ENSG00000014123,UFL1,Nucleus;Cytoplasm,Endoplasmic reticulum,APE,Supportive,GO:0005634;GO:0005737,GO:0005783,,216
ENSG00000014138,POLA2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,217
ENSG00000014164,ZC3H3,Nucleus but not nucleoli;Golgi apparatus,,APE,Uncertain,GO:0005654;GO:0005794,,,218
ENSG00000014216,CAPN1,Cytoplasm,,APE,Supportive,GO:0005737,,,219
ENSG00000014641,MDH1,Cytoplasm;Centrosome,,APE,Supportive,GO:0005737;GO:0005813,,,220
ENSG00000014914,MTMR11,Centrosome,,APE,Uncertain,GO:0005813,,,221
ENSG00000014919,COX15,Mitochondria,Nucleus,APE,Supportive,GO:0005739,GO:0005634,,222
ENSG00000015133,CCDC88C,Nucleus;Nucleoli,,APE,Uncertain,GO:0005634;GO:0005730,,,223
ENSG00000015153,YAF2,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,224
ENSG00000015171,ZMYND11,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,225
ENSG00000015285,WAS,Nucleus,,APE,Supportive,GO:0005634,,,226
ENSG00000015475,BID,Cytoplasm,,APE,Supportive,GO:0005737,,,227
ENSG00000015479,MATR3,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,228
ENSG00000015532,XYLT2,Nucleus,Cytoplasm,APE,Uncertain,GO:0005634,GO:0005737,,229
ENSG00000015592,STMN4,Golgi apparatus,Vesicles,APE,Uncertain,GO:0005794,GO:0043231,,230
ENSG00000015676,NUDCD3,Plasma membrane;Cytoplasm,Nucleus,APE,Uncertain,GO:0005886;GO:0005737,GO:0005634,,231
ENSG00000016082,ISL1,Nucleus but not nucleoli,,APE,Supportive,GO:0005654,,,232
ENSG00000016402,IL20RA,Cytoplasm,,APE,Uncertain,GO:0005737,,,233
ENSG00000016864,GLT8D1,Mitochondria,,APE,Uncertain,GO:0005739,,,234
ENSG00000017260,ATP2C1,Cytoplasm,Nucleus;Golgi apparatus,APE,Uncertain,GO:0005737,GO:0005634;GO:0005794,,235
ENSG00000017483,SLC38A5,Plasma membrane;Vesicles,Cytoplasm,APE,Uncertain,GO:0005886;GO:0043231,GO:0005737,,236
ENSG00000018236,CNTN1,Vesicles,,APE,Uncertain,GO:0043231,,,237
ENSG00000018408,WWTR1,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,238
ENSG00000018510,AGPS,Vesicles,,APE,Supportive,GO:0043231,,,239
ENSG00000018610,CXorf56,Nucleus,Centrosome,APE,Uncertain,GO:0005634,GO:0005813,,240
ENSG00000018699,TTC27,Mitochondria,Nucleoli,APE,Uncertain,GO:0005739,GO:0005730,,241
ENSG00000018869,ZNF582,Cytoplasm,Nucleus but not nucleoli,APE,Uncertain,GO:0005737,GO:0005654,,242
ENSG00000019102,VSIG2,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,243
ENSG00000019144,PHLDB1,Nucleus but not nucleoli,,APE,Uncertain,GO:0005654,,,244
ENSG00000019169,MARCO,Golgi apparatus,Vesicles,APE,Uncertain,GO:0005794,GO:0043231,,245
ENSG00000019186,CYP24A1,Nucleus but not nucleoli;Mitochondria,Plasma membrane,APE,Supportive,GO:0005654;GO:0005739,GO:0005886,,246
ENSG00000019505,SYT13,Vesicles,,APE,Supportive,GO:0043231,,,247
ENSG00000019582,CD74,Golgi apparatus,,APE,Uncertain,GO:0005794,,,248
ENSG00000019991,HGF,Cytoplasm,Centrosome,APE,Uncertain,GO:0005737,GO:0005813,,249
ENSG00000019995,ZRANB1,Nucleus but not nucleoli,Cytoplasm,APE,Supportive,GO:0005654,GO:0005737,,250
